2026-05-30T23:34:24.682836559Z [inf]  Starting Container
2026-05-30T23:35:14.873284716Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f82c87', status: 200 }
2026-05-30T23:35:14.873292695Z [inf]  [baseball live-activity] apns-connect { deviceToken: '407fd287', attempt: 1 }
2026-05-30T23:35:14.873299969Z [inf]  [baseball live-activity] apns-response { deviceToken: '407fd287', status: 200 }
2026-05-30T23:35:14.874147601Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40fd2c4b', attempt: 1 }
2026-05-30T23:35:14.874160674Z [inf]  [baseball live-activity] apns-response { deviceToken: '40fd2c4b', status: 200 }
2026-05-30T23:35:14.874167608Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ad4679', attempt: 1 }
2026-05-30T23:35:14.874174620Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ad4679', status: 200 }
2026-05-30T23:35:14.874180257Z [inf]  [baseball live-activity] apns-connect { deviceToken: '409d643e', attempt: 1 }
2026-05-30T23:35:14.874201957Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40973977', attempt: 1 }
2026-05-30T23:35:14.874203118Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4002adf5', attempt: 1 }
2026-05-30T23:35:14.874213827Z [inf]  [baseball live-activity] apns-response { deviceToken: '40973977', status: 200 }
2026-05-30T23:35:14.874215352Z [inf]  [baseball live-activity] apns-response { deviceToken: '4002adf5', status: 200 }
2026-05-30T23:35:14.874225264Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4089fe28', attempt: 1 }
2026-05-30T23:35:14.874228226Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c7ea96', attempt: 1 }
2026-05-30T23:35:14.874234702Z [inf]  [baseball live-activity] apns-response { deviceToken: '4089fe28', status: 200 }
2026-05-30T23:35:14.874239008Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c7ea96', status: 200 }
2026-05-30T23:35:14.874246375Z [inf]  [baseball live-activity] apns-connect { deviceToken: '404d2175', attempt: 1 }
2026-05-30T23:35:14.874250220Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4039fb50', attempt: 1 }
2026-05-30T23:35:14.874254905Z [inf]  [baseball live-activity] apns-response { deviceToken: '404d2175', status: 200 }
2026-05-30T23:35:14.874260275Z [inf]  [baseball live-activity] apns-response { deviceToken: '4039fb50', status: 200 }
2026-05-30T23:35:14.876879451Z [inf]  [baseball live-activity] apns-response { deviceToken: '409d643e', status: 200 }
2026-05-30T23:35:14.876888768Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40397f23', attempt: 1 }
2026-05-30T23:35:14.876901332Z [inf]  [baseball live-activity] apns-response { deviceToken: '40397f23', status: 200 }
2026-05-30T23:35:14.876906695Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4071038e', attempt: 1 }
2026-05-30T23:35:14.887438857Z [inf]  [baseball live-activity] apns-response { deviceToken: '4071038e', status: 200 }
2026-05-30T23:35:14.887448258Z [inf]  [baseball live-activity] apns-connect { deviceToken: '400b91b1', attempt: 1 }
2026-05-30T23:35:14.928447628Z [inf]  [baseball live-activity] apns-response { deviceToken: '400b91b1', status: 200 }
2026-05-30T23:35:14.928455671Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ce5466', attempt: 1 }
2026-05-30T23:35:14.928461957Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:14.954891892Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ce5466', status: 200 }
2026-05-30T23:35:14.954898359Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c2fca0', attempt: 1 }
2026-05-30T23:35:15.004073585Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c2fca0', status: 200 }
2026-05-30T23:35:15.004080088Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ccbd87', attempt: 1 }
2026-05-30T23:35:15.019739530Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ccbd87', status: 200 }
2026-05-30T23:35:15.029918399Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4034399d', attempt: 1 }
2026-05-30T23:35:15.056036712Z [inf]  [baseball live-activity] apns-response { deviceToken: '4034399d', status: 200 }
2026-05-30T23:35:15.057000742Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4068d3f1', attempt: 1 }
2026-05-30T23:35:15.096797235Z [inf]  [baseball live-activity] apns-response { deviceToken: '4068d3f1', status: 200 }
2026-05-30T23:35:15.096802035Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40df3bff', attempt: 1 }
2026-05-30T23:35:15.125217663Z [inf]  [baseball live-activity] apns-response { deviceToken: '40df3bff', status: 200 }
2026-05-30T23:35:15.132796702Z [inf]  [baseball live-activity] apns-connect { deviceToken: '406e15ee', attempt: 1 }
2026-05-30T23:35:15.178444738Z [inf]  [baseball live-activity] apns-response { deviceToken: '406e15ee', status: 200 }
2026-05-30T23:35:15.178448595Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c98945', attempt: 1 }
2026-05-30T23:35:15.763189992Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c98945', status: 200 }
2026-05-30T23:35:15.763197087Z [inf]  [baseball live-activity] apns-connect { deviceToken: '400b165a', attempt: 1 }
2026-05-30T23:35:15.763203554Z [inf]  [baseball live-activity] apns-response { deviceToken: '400b165a', status: 200 }
2026-05-30T23:35:15.763209631Z [inf]  [baseball live-activity] apns-connect { deviceToken: '402c807d', attempt: 1 }
2026-05-30T23:35:15.763215578Z [inf]  [baseball live-activity] apns-response { deviceToken: '402c807d', status: 200 }
2026-05-30T23:35:15.763221912Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403966d8', attempt: 1 }
2026-05-30T23:35:15.763227909Z [inf]  [baseball live-activity] apns-response { deviceToken: '403966d8', status: 200 }
2026-05-30T23:35:15.763233259Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c9f8f8', attempt: 1 }
2026-05-30T23:35:15.763239972Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c9f8f8', status: 200 }
2026-05-30T23:35:15.763246124Z [inf]  [baseball live-activity] apns-connect { deviceToken: '406ca735', attempt: 1 }
2026-05-30T23:35:15.763253611Z [inf]  [baseball live-activity] apns-response { deviceToken: '406ca735', status: 200 }
2026-05-30T23:35:15.763259706Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40fa38f5', attempt: 1 }
2026-05-30T23:35:15.763264867Z [inf]  [baseball live-activity] apns-response { deviceToken: '40fa38f5', status: 200 }
2026-05-30T23:35:15.763270462Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4061ddfb', attempt: 1 }
2026-05-30T23:35:15.763275983Z [inf]  [baseball live-activity] apns-response { deviceToken: '4061ddfb', status: 200 }
2026-05-30T23:35:15.763288275Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40cc6f8c', attempt: 1 }
2026-05-30T23:35:15.763302765Z [inf]  [baseball live-activity] apns-response { deviceToken: '40cc6f8c', status: 200 }
2026-05-30T23:35:15.764107083Z [inf]  [baseball live-activity] apns-connect { deviceToken: '405ea16e', attempt: 1 }
2026-05-30T23:35:15.764109151Z [inf]  [baseball live-activity] apns-response { deviceToken: '404e0291', status: 200 }
2026-05-30T23:35:15.764123845Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f2ae54', attempt: 1 }
2026-05-30T23:35:15.764127798Z [inf]  [baseball live-activity] apns-response { deviceToken: '405ea16e', status: 200 }
2026-05-30T23:35:15.764139277Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40468f70', attempt: 1 }
2026-05-30T23:35:15.764139992Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f2ae54', status: 200 }
2026-05-30T23:35:15.764147672Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a0a391', status: 200 }
2026-05-30T23:35:15.764152885Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a0a391', attempt: 1 }
2026-05-30T23:35:15.764157298Z [inf]  [baseball live-activity] apns-response { deviceToken: '40468f70', status: 200 }
2026-05-30T23:35:15.764160017Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4071c426', attempt: 1 }
2026-05-30T23:35:15.764168276Z [inf]  [baseball live-activity] apns-connect { deviceToken: '407eb63a', attempt: 1 }
2026-05-30T23:35:15.764176115Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e611dc', attempt: 1 }
2026-05-30T23:35:15.764180895Z [inf]  [baseball live-activity] apns-response { deviceToken: '407eb63a', status: 200 }
2026-05-30T23:35:15.764190097Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e611dc', status: 200 }
2026-05-30T23:35:15.764192578Z [inf]  [baseball live-activity] apns-connect { deviceToken: '404e0291', attempt: 1 }
2026-05-30T23:35:15.764199109Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40dd5926', attempt: 1 }
2026-05-30T23:35:15.764205179Z [inf]  [baseball live-activity] apns-response { deviceToken: '40dd5926', status: 200 }
2026-05-30T23:35:15.799583744Z [inf]  [baseball live-activity] apns-response { deviceToken: '4071c426', status: 200 }
2026-05-30T23:35:15.799591708Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b2683', attempt: 1 }
2026-05-30T23:35:15.836143604Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b2683', status: 200 }
2026-05-30T23:35:15.836152409Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a3c714', attempt: 1 }
2026-05-30T23:35:15.869844943Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a3c714', status: 200 }
2026-05-30T23:35:15.873277392Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40cecc35', attempt: 1 }
2026-05-30T23:35:15.921022051Z [inf]  [baseball live-activity] apns-response { deviceToken: '40cecc35', status: 200 }
2026-05-30T23:35:15.921026197Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e07444', attempt: 1 }
2026-05-30T23:35:15.943939635Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e07444', status: 200 }
2026-05-30T23:35:15.946194040Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ddd209', attempt: 1 }
2026-05-30T23:35:15.978947322Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ddd209', status: 200 }
2026-05-30T23:35:15.981234841Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40b4451d', attempt: 1 }
2026-05-30T23:35:16.013575581Z [inf]  [baseball live-activity] apns-response { deviceToken: '40b4451d', status: 200 }
2026-05-30T23:35:16.020996354Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40deea15', attempt: 1 }
2026-05-30T23:35:16.050656321Z [inf]  [baseball live-activity] apns-response { deviceToken: '40deea15', status: 200 }
2026-05-30T23:35:16.050662153Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40368101', attempt: 1 }
2026-05-30T23:35:16.084175365Z [inf]  [baseball live-activity] apns-response { deviceToken: '40368101', status: 200 }
2026-05-30T23:35:16.086007738Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a58f61', attempt: 1 }
2026-05-30T23:35:16.132919814Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a58f61', status: 200 }
2026-05-30T23:35:16.132926523Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a915d7', attempt: 1 }
2026-05-30T23:35:16.154578448Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a915d7', status: 200 }
2026-05-30T23:35:16.156850265Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40fcfc0a', attempt: 1 }
2026-05-30T23:35:16.710737758Z [inf]  [baseball live-activity] apns-response { deviceToken: '40fcfc0a', status: 200 }
2026-05-30T23:35:16.710746848Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40049a78', attempt: 1 }
2026-05-30T23:35:16.710756099Z [inf]  [baseball live-activity] apns-response { deviceToken: '40049a78', status: 200 }
2026-05-30T23:35:16.710761932Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f5f13d', attempt: 1 }
2026-05-30T23:35:16.710766655Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f5f13d', status: 200 }
2026-05-30T23:35:16.710771415Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4047a31e', attempt: 1 }
2026-05-30T23:35:16.710776068Z [inf]  [baseball live-activity] apns-response { deviceToken: '4047a31e', status: 200 }
2026-05-30T23:35:16.710780479Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4082ca1f', attempt: 1 }
2026-05-30T23:35:16.710784915Z [inf]  [baseball live-activity] apns-response { deviceToken: '4082ca1f', status: 200 }
2026-05-30T23:35:16.710789856Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e5dca8', attempt: 1 }
2026-05-30T23:35:16.710794661Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e5dca8', status: 200 }
2026-05-30T23:35:16.710800033Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4044d12c', attempt: 1 }
2026-05-30T23:35:16.710805543Z [inf]  [baseball live-activity] apns-response { deviceToken: '4044d12c', status: 200 }
2026-05-30T23:35:16.710810330Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40cc87d1', attempt: 1 }
2026-05-30T23:35:16.710814919Z [inf]  [baseball live-activity] apns-response { deviceToken: '40cc87d1', status: 200 }
2026-05-30T23:35:16.710819659Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4024389e', attempt: 1 }
2026-05-30T23:35:16.710824417Z [inf]  [baseball live-activity] apns-response { deviceToken: '4024389e', status: 200 }
2026-05-30T23:35:16.711345896Z [inf]  [baseball live-activity] apns-connect { deviceToken: '409e90b8', attempt: 1 }
2026-05-30T23:35:16.711354085Z [inf]  [baseball live-activity] apns-response { deviceToken: '409e90b8', status: 200 }
2026-05-30T23:35:16.711361456Z [inf]  [baseball live-activity] apns-connect { deviceToken: '402f9d5a', attempt: 1 }
2026-05-30T23:35:16.711367893Z [inf]  [baseball live-activity] apns-response { deviceToken: '402f9d5a', status: 200 }
2026-05-30T23:35:16.711374602Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403e4100', attempt: 1 }
2026-05-30T23:35:16.711380838Z [inf]  [baseball live-activity] apns-response { deviceToken: '403e4100', status: 200 }
2026-05-30T23:35:16.711387444Z [inf]  [baseball live-activity] apns-connect { deviceToken: '401a1404', attempt: 1 }
2026-05-30T23:35:16.711393653Z [inf]  [baseball live-activity] apns-response { deviceToken: '401a1404', status: 200 }
2026-05-30T23:35:16.711400431Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a3cd32', attempt: 1 }
2026-05-30T23:35:16.711408052Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a3cd32', status: 200 }
2026-05-30T23:35:16.711413125Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40b34727', attempt: 1 }
2026-05-30T23:35:16.711417896Z [inf]  [baseball live-activity] apns-response { deviceToken: '40b34727', status: 200 }
2026-05-30T23:35:16.711422664Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e68273', attempt: 1 }
2026-05-30T23:35:16.711428375Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e68273', status: 200 }
2026-05-30T23:35:16.711433387Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4068a1e0', attempt: 1 }
2026-05-30T23:35:16.745043969Z [inf]  [baseball live-activity] apns-response { deviceToken: '4068a1e0', status: 200 }
2026-05-30T23:35:16.745049878Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4000bf78', attempt: 1 }
2026-05-30T23:35:16.779161286Z [inf]  [baseball live-activity] apns-response { deviceToken: '4000bf78', status: 200 }
2026-05-30T23:35:16.779180316Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4019a096', attempt: 1 }
2026-05-30T23:35:16.811760875Z [inf]  [baseball live-activity] apns-response { deviceToken: '4019a096', status: 200 }
2026-05-30T23:35:16.813864341Z [inf]  [baseball live-activity] apns-connect { deviceToken: '401fe401', attempt: 1 }
2026-05-30T23:35:16.854772705Z [inf]  [baseball live-activity] apns-response { deviceToken: '401fe401', status: 200 }
2026-05-30T23:35:16.854780215Z [inf]  [baseball live-activity] start-sent {
2026-05-30T23:35:16.854785732Z [inf]    fixtureId: '823054',
2026-05-30T23:35:16.854792189Z [inf]    bundleId: 'com.sportsheart.app',
2026-05-30T23:35:16.854799840Z [inf]    tokenCount: 90,
2026-05-30T23:35:16.854805211Z [inf]    forwarded: 90
2026-05-30T23:35:16.854811473Z [inf]  }
2026-05-30T23:35:19.922117337Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:24.968769889Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:30.005973268Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:34.947065067Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:35.876479364Z [inf]  [baseball live-activity] apns-connect { deviceToken: '406f9e8e', attempt: 1 }
2026-05-30T23:35:35.896566360Z [inf]  [baseball live-activity] apns-response { deviceToken: '406f9e8e', status: 200 }
2026-05-30T23:35:35.903772202Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403d6b40', attempt: 1 }
2026-05-30T23:35:35.934549766Z [inf]  [baseball live-activity] apns-response { deviceToken: '403d6b40', status: 200 }
2026-05-30T23:35:35.934559246Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c8e69c', attempt: 1 }
2026-05-30T23:35:35.970442162Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c8e69c', status: 200 }
2026-05-30T23:35:35.970447821Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c3b93f', attempt: 1 }
2026-05-30T23:35:36.005012481Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c3b93f', status: 200 }
2026-05-30T23:35:36.007334420Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403cb61b', attempt: 1 }
2026-05-30T23:35:36.043933121Z [inf]  [baseball live-activity] apns-response { deviceToken: '403cb61b', status: 200 }
2026-05-30T23:35:36.043945223Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4034399d', attempt: 1 }
2026-05-30T23:35:36.076181093Z [inf]  [baseball live-activity] apns-response { deviceToken: '4034399d', status: 200 }
2026-05-30T23:35:36.083900081Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40144cde', attempt: 1 }
2026-05-30T23:35:36.114603878Z [inf]  [baseball live-activity] apns-response { deviceToken: '40144cde', status: 200 }
2026-05-30T23:35:36.114610659Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40eb4a1a', attempt: 1 }
2026-05-30T23:35:36.147998271Z [inf]  [baseball live-activity] apns-response { deviceToken: '40eb4a1a', status: 200 }
2026-05-30T23:35:36.150049404Z [inf]  [baseball live-activity] apns-connect { deviceToken: '407368e1', attempt: 1 }
2026-05-30T23:35:36.186024839Z [inf]  [baseball live-activity] apns-response { deviceToken: '407368e1', status: 200 }
2026-05-30T23:35:36.186040217Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f375a3', attempt: 1 }
2026-05-30T23:35:36.215485845Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f375a3', status: 200 }
2026-05-30T23:35:36.217457598Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40397f23', attempt: 1 }
2026-05-30T23:35:36.884778066Z [inf]  [baseball live-activity] apns-response { deviceToken: '40397f23', status: 200 }
2026-05-30T23:35:36.884783833Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ce5466', attempt: 1 }
2026-05-30T23:35:36.884790279Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ce5466', status: 200 }
2026-05-30T23:35:36.884796160Z [inf]  [baseball live-activity] apns-connect { deviceToken: '401613cb', attempt: 1 }
2026-05-30T23:35:36.884802788Z [inf]  [baseball live-activity] apns-response { deviceToken: '401613cb', status: 200 }
2026-05-30T23:35:36.884812982Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40bf8b85', attempt: 1 }
2026-05-30T23:35:36.884820013Z [inf]  [baseball live-activity] apns-response { deviceToken: '40bf8b85', status: 200 }
2026-05-30T23:35:36.884826718Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4024389e', attempt: 1 }
2026-05-30T23:35:36.884832320Z [inf]  [baseball live-activity] apns-response { deviceToken: '4024389e', status: 200 }
2026-05-30T23:35:36.884838803Z [inf]  [baseball live-activity] apns-connect { deviceToken: '409e7594', attempt: 1 }
2026-05-30T23:35:36.884844709Z [inf]  [baseball live-activity] apns-response { deviceToken: '409e7594', status: 200 }
2026-05-30T23:35:36.884850726Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4027d13e', attempt: 1 }
2026-05-30T23:35:36.884857498Z [inf]  [baseball live-activity] apns-response { deviceToken: '4027d13e', status: 200 }
2026-05-30T23:35:36.884864616Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ddd209', attempt: 1 }
